Ticker,Text,replyCount,retweetCount,likeCount,quoteCount,retweetedTweet,quotedTweet,totalMentions
$TSLA,"b""@icy_tesla @CarenBabaknia @Tesla @elonmusk @teslaownersSV @DirtyTesla I already told you that what you're describing doesnt happen. I was directing you to one of the many reasons that what you are imagining happens, doesnt.""",1,0,0,0,,,6
$TSLA,"b'@Gfilche @Tesla @POTUS @elonmusk Pro Tip.\n\nTesla needs Trump in the White House *as elected* to deal with:\n\n1. Biden\xe2\x80\x99s corrupt UAW.\n2. Biden\xe2\x80\x99s corrupt NHTSA.\n3. Biden\xe2\x80\x99s corrupt MSM / Social Media now targeting Elon.\n4. Settling Giga India, Russia etc. without any BS.\n5. Biden\xe2\x80\x99s corrupt tax, border, mandates\xe2\x80\xa6'",0,0,0,0,,,4
$TSLA,"b'@MillerDarrinm03 @DirtyTesla @Tesla @elonmusk A lot of smoothing in the next update, that\xe2\x80\x99s good cause.9 is still a little jerky. Exciting times'",0,0,4,0,,,4
$TSLA,"b'@DirtyTesla @Kristennetten @Tesla @elonmusk Hopefully CA is exempted, we invented that move \xf0\x9f\x98\x8e'",1,0,1,0,,,4
$TSLA,"b""@2evergreen2 @ElonJet @Tesla Why the hell would he want to work for this fraud? The guy that said if his employees aren't working more than 70+ hours a week they ain't working hard enough...Elon Musk can go fuck himself he isn't worth working for.""",0,0,1,0,,,3
$TSLA,"b""@Gfilche @Tesla @POTUS @elonmusk Don't forget to drive to the polls""",1,0,3,0,,,4
$TSLA,b'@Dreamcased @Tesla New product launch \xf0\x9f\x91\x80',1,0,4,0,,,2
$TSLA,b'Top tweeted stocks:\n$AMD $UPS $NFLX $TSLA $BROS $SPX $XOM $AAPL $AMZN $PYPL $MSFT $NVDA $CF $ES $ZIM $DWAC $OXY $PXD $SBUX $UPST $DAC $HOOD $TRGP $AFRM $SQ $V $GOOG $FB $GSL $AMC $MOS $SHOP $NIO $SNOW $SPOT $DVN $COP $EOG $BAC $ARCH $MATX $DSKE $BA $CAT \n\n #stockstowatch https://t.co/cdxnCqQMoY',0,1,3,0,,,0
$TSLA,b'Energy will be a large part of future profits. $tsla\n https://t.co/kystv1PnGv',0,1,3,0,,,0
$TSLA,"b'@JilianneParker @Tesla I think I said this to you a while ago but yeah\xe2\x80\xa6if it\xe2\x80\x99s bothering you that much, why not sell it and save yourself the stress and aggravation??'",1,0,2,0,,,2
$TSLA,b'Apes together strong.\n$GME $AMC $DOGE $BTC $BB $NAKD $TSLA $SND https://t.co/4G4UeAxstg',0,1,1,0,,,0
$TSLA,b'People might stop buying clothes\n\nWould they stop shopping at $AMZN $WMT\n\nPS - AMZN upgraded their logistics and automation\n\n$SPY $SPX $ES_F $QQQ $NDX #BITCOIN #DOGE #crypto #nft $IWM $ARKK $TSLA $AAPL #FOMC #SP500 #marketcrash  #ES_F #StockMarket $XLF $AMD $SBUX $GOOG $FB $PYPL',0,1,5,0,,,0
$TSLA,b'ICE car recalls cost multiple days and cost to manufacturer\xe2\x80\x99s!! @Tesla @elonmusk \xe2\x80\x9crecalls\xe2\x80\x9d take just one OTA update to fix! The news media needs to redefine what RECALLS actually mean!!!',0,0,0,0,,,2
$TSLA,b'What happened to the $TSLA stock split. Did I miss it? https://t.co/M0WAx8RcwD',2,1,2,0,,,0
$TSLA,b'@ChristmasPierce @Tesla @elonmusk Well Hyundai are never the top of serious car shoppers lists.  I\xe2\x80\x99d rather have a 2-3 year decent domestic than a brand new Hyundai.',2,0,1,0,,,3
$TSLA,b'@MarkOftheBEAS14 @elonmusk @jordanbpeterson @joerogan @Tesla What if these 3 walk into a bar?',0,0,1,0,,,5
$TSLA,"b'@JilianneParker @Tesla Yeah, unfortunately this isn\xe2\x80\x99t uncommon. We had/have major paint issues, drove 2 hours to have them look at it only to tell us it was our fault and they weren\xe2\x80\x99t going to do anything. Paint literally flaking off. Still love the car and just moved on because the car is that good.'",0,0,3,0,,,2
$TSLA,b'@garyblack00 500 mile per charge EV needed in US. $tsla doesn\xe2\x80\x99t cut it even close to the  miles quoted. Like the @Dyson v15 - Poor battery performance &amp; high price point. At least its replaceable on Dyson.',1,0,0,0,,,2
$TSLA,b'@Manic_Marge @Tesla I know that feeling . She drives like silk https://t.co/002mbUF2K7',0,0,2,0,,,2
$TSLA,b'@SECGov for example if I do $DWAC covered options and I can 100% make 40-50% risk free that\xe2\x80\x99s obviously a rigged market. In an efficient market maybe I should only be able to make 0.2% after transaction fees which equals 2% annualised.\n\n$DWAC $TSLA $GOOG $AAPL',1,1,2,0,,,1
$TSLA,b'FIXING NEWS: $TSLA FSD Beta 10.10 starting to roll out. https://t.co/ZjwmWCIgcd',0,0,0,0,,https://twitter.com/WholeMarsBlog/status/1488657116986372101,0
$TSLA,b'@LaurenEastonAP @elonmusk @WholeMarsBlog @tkrisher @AP Haha of course you do. No ad pay from @Tesla = negative/biased/fake coverage. \n\nProblem is you lose credibility over and over and over until you have none left \xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f',0,0,2,0,,,6
$TSLA,"b'@christiaanhtznr @tkrisher @Tesla 1/ This was not mandatory, in the attached letter you will see that $TSLA informed the NHTSA and the NHTSA acknowledged such notification. https://t.co/7LXjxinTYR'",1,1,4,0,,,3
$TSLA,b'Tesla: Still Attractive Even without New Vehicle Models - my article for @tipranks https://t.co/bojaMHh681 $SPY $QQQ $DIA $DJIA #stockmarket #investing #finance #stocks $AAPL $TSLA $AMZN $INTC $NFLX $AMC $NIO $GME',0,1,3,0,,,1
$TSLA,b'\xc4\xb0 hope all meme coin shillers get executed in metaverse by #SatoshiNakamoto and i would pay for the pop corn with $utk utrust .. @elonmusk would be fun seeing you executed in metaverse by Satoshi inside your @Tesla car \xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8',0,0,0,0,,,2
$TSLA,b'Farmmi (FAMI) Stock Is Unbelievably Cheap Despite Blockbuster Fiscal Stats - my article for @investorplace https://t.co/nYAwH7QZpV $FAMI $SPY $QQQ $DIA $DJIA #stockmarket #investing #finance #stocks $AAPL $TSLA $AMZN $INTC $NFLX $AMC $NIO $GME',0,3,11,0,,,1
$TSLA,"b'@V00d00Wh0D0 @tkrisher @Tesla Well aware of his penchant to set wildly unrealistic goals, only to repeatedly fall short. Or promise the Next Big Thing like Optimus when he hasn\xe2\x80\x99t delivered CT, Semi, Roadster or even started on a $25k car. Is that a con? Only if it was deliberately done to deceive and defraud.'",1,0,0,0,,,3
$TSLA,b'@GerberKawasaki If $TSLA dosent i am suing',0,1,1,0,,,1
$TSLA,b'@DirtyTesla @Tesla @elonmusk Why not just pull it via OTA ahead of time if you know it is coming?  Own the story.',1,0,0,0,,,3
$TSLA,"b'Join us Wednesday morning for our Pre-market Analysis &amp; live stream via YouTube. 8-9:30am ET Breakdown of macro/micros, FAANG &amp; individual names. Technical analysis &amp; Plan for The Open. Will tweet out the link 8am ET\nhttps://t.co/XrO5oyIQ3S\n\n$SPY $AAPL $FB $BA $NFLX $TSLA $AMZN'",1,1,2,0,,,0
$TSLA,b'$TSLA holders after hearing about the 20:1 $GOOGL split. https://t.co/ioGPE3UYj3',0,1,1,0,,,0
$TSLA,"b""@Gfilche @Tesla @POTUS @elonmusk I'm down. It's a 40 min trip for me!!""",0,0,0,0,,,4
$TSLA,"b'@GerberKawasaki A small piece of that (129 euros) just found a home. \nBought a Cyberwhistle and a Beltbuckle.   \n\n@Tesla @elonmusk thanks for adding this merch to the EU stores, felt kinda left out for a while\xf0\x9f\x98\xb0'",0,0,0,0,,,3
$TSLA,b'The fact that @POTUS blatantly ignores @Tesla \xe2\x80\x98s ev achievements makes me seriously think he believes the American population is stupid\xe2\x80\xa6 What a shame\xe2\x80\xa6',0,0,0,0,,,2
$TSLA,"b""Novavax Stock Should Move Higher After the Company's International Distribution Efforts - my article for @investorplace https://t.co/3ZYuHvQaeL $NVAX $SPY $QQQ $DIA $DJIA #stockmarket #investing #finance #stocks $AAPL $TSLA $AMZN $INTC $NFLX $AMC $NIO $GME""",0,1,7,1,,,1
$TSLA,b'Market is rigged because nothing should be a steal. There shouldn\xe2\x80\x99t be a 100% winning strategy. You can do covered options and win 100% now with insane returns! Such return in an efficient market (not rigged) should only equal the interest rate\n\n$DWAC $TSLA $GOOG $AAPL',1,1,2,0,,,0
$TSLA,b'@engineers_feed Get Apple Car Play @Tesla @Apple',0,0,1,0,,,3
$TSLA,"b'@monicaortiztv @JoeTegtmeyer @Tesla Wtf is that scary asf stair tower, you should see Nikola\xe2\x80\x99s stair tower - (safety first &amp; always)'",1,0,0,0,,,3
$TSLA,"b""Don't see a ton out there, If I take any trades, not looking to press heavy. WL: $AAPL $AFRM $ANET $MSFT $NOW $PANW $SWCH $TEAM $TSLA.""",0,1,7,0,,,0
$TSLA,"b""^ That's $BULZ. $FNGU is 12.88% $TWTR, 12.17% $TSLA, as their top holdings, more than they have FANG. Don't understand why?""",1,1,0,0,,,0
$TSLA,b'@Gfilche @Tesla @POTUS @elonmusk Like a US Tesla EV cross country protest drive to Washington. Love it.',14,7,296,1,,,4
$TSLA,"b""Putin discusses Ukraine tensions with visiting Hungarian PM \n\n $AMC $GME $SQ $NFLX $DXY $SPY $QQQ $DJIA $DIA $ADBE $BABA $CVS $HD $AMZN $TSLA $NKE\nIT'S COMING ON PLATFORM &amp; THE APPS LIVE NYSE &amp; NASDAQ TRADING DATA FOR $2.99 A MONTH GET READY \xf0\x9f\xa4\x93\xf0\x9f\xa4\x93\xf0\x9f\xa4\x93\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\nhttps://t.co/IpftX2T1Wy""",0,1,1,0,,,0
$TSLA,b'@GailAlfarATX @elonmusk @POTUS @Tesla @JohnnaCrider1 @SawyerMerritt @WholeMarsBlog @teslaownersSV @TeslaOwnersEBay @Kristennetten @live_munro @BillyM2k @Grimezsz I\xe2\x80\x99m not American but I support this 1000%',1,0,0,0,,,13
$TSLA,"b'#EV adoption continues to soar. 4Q 2021 Global adoption = 9.4%. \n\n- Europe now at 16%\n- China at ~15%\n- US &amp; Canada still lagging at 4.3%\n\n$TSLA Giga-Berlin prod. starting in Q1 \xe2\x80\x9822 alongside Giga-Shanghai capacity expansion, sets the stage for massive FY\xe2\x80\x9922 growth. \n@DivesTech https://t.co/WZjiba3Qya'",1,2,4,1,,,1
$TSLA,"b'Loading $AMZN calls tomorrow, forward split speculation can push it 5% before earnings which is tomorrow after hours and they already said December 2021 was their best month ever\n\n$GOOGL $AAPL $TSLA $FB $NFLX $SPY $BTC $ETH #btc #bitcoin'",1,1,1,0,,,0
$TSLA,b'@Mat_Germain_ @alex_avoigt Thats ok. Comprehension varies with people.\n\nSome struggle with Special Relativity others with 2+2.\n\nAnd then some who pretend cos of an agenda . . . \nlike inflating a Share Price Bubble \n\n$TSLA #Tesla',0,1,0,0,,,2
$TSLA,b'They got u to pay their debt and I\xe2\x80\x99m going to stock twits with this information and please sue me @elonmusk @Tesla I want my day in court',0,0,0,0,,,2
$TSLA,"b'@Proxima06_Aiai i wonder if that explanation went something like this:\n\n""wait for $TSLA to keep posting record quarters as EV adoption soars. it\'ll get cheap. trust me""'",1,1,1,0,,,1
$TSLA,b'When option premiums are this expensive it\xe2\x80\x99s a steal just doing covered options and theta ganging strategies. Markets therefore rigged in favour for institutions and professional investors with a million USD+ in trading capital $DWAC $TSLA $GOOG $AAPL',0,1,1,0,,,0
$TSLA,b'I want one... that software is my soul mate. @Tesla https://t.co/46hlAXwWuW',0,0,0,0,,https://twitter.com/newsmax/status/1488542634310201347,1
$TSLA,b'Texas hold \xe2\x80\x98em @elonmusk now ask them why the federal gov is going to protect my rights and how imma bankrupt u and replace u @Tesla',0,0,0,0,,,2
$TSLA,b'Will they raise rates? If so comment how many times?\n\nWould to hear any reasonings?\n\n$SPY $SPX $ES_F $QQQ $NDX #BITCOIN #DOGE #crypto #nft $IWM $ARKK $TSLA $AAPL #FOMC #SP500 #marketcrash #fintwit #ES_F #StockMarket $XLF $AMD $SBUX $GOOG $FB $PYPL',1,1,3,0,,,0
$TSLA,"b'@putersdcat @Tesla I\xe2\x80\x99ve never owned a Lexus, they\xe2\x80\x99re for old people.'",0,0,0,0,,,2
$TSLA,"b'@POTUS Joe, can you name this car? $tsla https://t.co/sO3GH8lotp'",0,1,0,0,,,1
$TSLA,b'Inadequate employees @tesla now run tell that pussy hole ass',0,0,0,0,,,1
$TSLA,"b'@agusnox @D0li0 @Tesla It appears you have an inability to filter through and take in good information, or are dumb, or are a paid bear. \n\nIf you\xe2\x80\x99re a paid bear you\xe2\x80\x99re terrible at it imo, and should be fired, but I admit your job is getting harder with ya know, $tsla profits \xf0\x9f\x98\xac'",1,1,1,0,,,3
$TSLA,b'@NastyShib @EmergencyDAO @ShytoshiKusama @Tesla @TeslaAIBot @elonmusk Seems @real_n3o might have a interesting prespective on this based on his last post!',0,0,1,0,,,7
$TSLA,"b""@FromWhereICHG @UnpluggedTesla @TeslaCorsa @Tesla @essencemtrsprts @elonmusk How's your battery capacity?""",1,0,0,0,,,6
$TSLA,b'Most Mentioned Tickers on WSB (via SwaggyStocks)\n\n1. $AMD\n2. $PYPL\n3. $TSLA\n4. $GME\n5. $MTCH\n6. $AMC\n7. $GOOGL\n8. $NVDA\n9. $GOOG\n10. $NFLX',0,1,3,0,,,0
$TSLA,"b'He tryin to cover it up but it\xe2\x80\x99s on camera , @Tesla employees discriminated against me.'",0,0,0,0,,,1
$TSLA,"b""@Gfilche @Tesla @POTUS @elonmusk Why waste time? He's an \xf0\x9f\xa7\xa6 puppet anyway.""",1,0,0,0,,,4
$TSLA,b'@welloiledsling @Tesla You act like this is my first car. I know what to expect from other manufacturers and I can tell you it\xe2\x80\x99s never been this stressful with ANY vehicles I\xe2\x80\x99ve owned.',0,0,4,0,,,2
$TSLA,"b'@DirtyTesla @Tesla @elonmusk ""Enabled lane changing into an oncoming lane to maneuver around static obstacles, when safe to do so"" \xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\n\nThat I must see working to believe.'",2,0,3,0,,,3
$TSLA,b'Lebron James is roughly 6.75 feet tall. $TSLA thinks it is safe to drive through stop signs at roughly 8.2 feet per second. Think about that for a minute. @RMac18 @PlainSite @NHTSAgov @SenBlumenthal @SenMarkey @CaltransHQ @zerohedge @lorakolodny @ElectrekCo @Tweetermeyer',0,1,4,0,,,10
$TSLA,"b""@erictalkshorses I like that, I do the same and mainly intraday trade with $SPY $TSLA \n\nI will add some helpful information that may be beneficial in tonight's newsletter!""",0,1,1,0,,,1
$TSLA,"b'@OUATube @McDonalds @Tesla Cryptos: the e-cancer. That crap should be illegal, oh wait, it is in most countries, LMAO.'",0,0,0,0,,,3
$TSLA,"b'@sr_barik @04Panday @Fir3ball2Lit @blkwsp @OptimusPrimerv @elonmusk @PPathole @Tesla So, the RM required to manufacture cars are also naturally heavier. The petrol and diesel costs in India are huge compared to other countries. This leads to high transportation costs and high moving time.\n\nCentral Government is also not providing any incentives for this.'",0,0,0,0,,,8
$TSLA,b'Y\xe2\x80\x99all remember when $AAPL and $TSLA announced their splits in 2020? And they ran like a mfer til it split\xe2\x80\xa6\n\n$GOOGL might run to 3500-3800 before it actually splits.',0,1,5,0,,,0
$TSLA,"b'My barber tells me that he wanted to buy $TSLA but his financial advisor said he should wait for the dip later this year because it\'s too high atm. \xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\n\nI said ""Wow! I didn\'t know your advisor has a time machine! Strange how he can time travel but still can\'t retire!"" \xf0\x9f\x98\x82'",14,2,116,0,,,0
$TSLA,"b""@DirtyTesla @Tesla @elonmusk This is what I don't understand. Whenever NHTSA starts looking into something kinda dumb they're doing, they fix it in days. Why not fix the dumb *before* it becomes a government investigation? Surely they already know.""",2,0,2,0,,,3
$TSLA,b'I hope all of this comes true.  \n\nThe freeze last year is precisely why we\xe2\x80\x99re installing a @TeslaSolar system and @Tesla Power Wall battery backups for the house. https://t.co/gvXLapOIzM',0,0,0,0,,https://twitter.com/BetoORourke/status/1488657210561511426,2
